Part,Value,Device,Package,Description
ACT,RED,LEDCHIP-LED0805,CHIP-LED0805,LED
BAT,9V,W237-102,W237-102,WAGO SCREW CLAMP
C1,22pF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C2,22pF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C3,22pF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C4,22pF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C5,330uF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C6,100nF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C7,100nF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C8,100nF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C9,10uF,CPOL-USA/3216-18R,A/3216-18R,"POLARIZED CAPACITOR, American symbol"
C10,100nF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C11,100nF,C-EUC0805,C0805,"CAPACITOR, European symbol"
CONFIRM,CHERRY_MX_LED,CHERRY_MX_LED,CHERRY_MX_LED,Cherry MX with LED
IC1,7805TV,7805TV,TO220V,Positive VOLTAGE REGULATOR
IC2,4050D,4050D,SO16,Hex non-inverting BUFFER
IC3,LP298XS,LP298XS,SOT23-5L,
LEFT,CHERRY_MX_LED,CHERRY_MX_LED,CHERRY_MX_LED,Cherry MX with LED
PROGRAMMER,ATMEGA48/88/168-PU,ATMEGA48/88/168-PU,DIL28-3,
Q1,16Mhz,XTAL/S,QS,CRYSTAL
Q2,16Mhz,XTAL/S,QS,CRYSTAL
R1,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R2,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R3,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R4,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R5,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R6,1k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R7,1k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R8,1k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R9,1K,R-US_R0805,R0805,"RESISTOR, American symbol"
RIGHT,CHERRY_MX_LED,CHERRY_MX_LED,CHERRY_MX_LED,Cherry MX with LED
S1, ,452404020202,452404020202,"WS-SLTV THT Mini Slide Switch, Same Side Connection 9.0x3.5 mm"
SERIAL1,,MA04-1,MA04-1,PIN HEADER
SERIAL2,,MA04-1,MA04-1,PIN HEADER
TARGET_ISP,AVR-ISP-6,AVR-ISP-6,AVR-ISP-6,AVR ISP-6 Serial Programming Header
TCLK,,PINHD-1X1,1X01,PIN HEADER
U$1,128X64-I2C-OLED,128X64-I2C-OLED,128X64-I2C-OLED,
UIM,ATMEGA48/88/168-PU,ATMEGA48/88/168-PU,DIL28-3,
X1,MICROSD,MICROSD,MICROSD,Micro-SD / Transflash card holder with SPI pinout
